exp,myvar,citation,full_reference,X,bibtexkey
aspenface_pt_c,leaf_n_area,uddling_et_al_2009,uddling_j_teclaw_rm_pregitzer_ks_ellsworth_ds_2009_leaf_and_canopy_conductance_in_aspen_and_aspen-birch_forests_under_free-air_enrichment_of_carbon_dioxide_and_ozone_tree_physiol_29:1367ñ1380,NA,@uddling_et_al_2009
aspenface_ptas_c,asat,sharma_et_al_2003,sharma_p_sober_a_sober_j_podila_gk_kubiske_me_mattson_wj_isebrands_jg_karnosky_df_2003_moderation_of_[co2]-induced_gas_exchange_responses_by_elevated_tropospheric_o3_in_trembling_aspen_and_sugar_maple_ekologia_22:304ñ317,NA,@sharma_et_al_2003
aspenface_ptas_c,leaf_n_mass,kopper_et_al_2001,kaakinen_s_kostiainen_k_ek_f_saranpaa_p_kubiske_me_sober_j_karnosky_df_vapaavuori_e_2004_stem_wood_properties_of_populus_tremuloides_betula_papyrifera_and_acer_saccharum_saplings_after_3_years_of_treatments_to_elevated_carbon_dioxide_and_ozone_global_change_biology_10:1513ñ1525,NA,@kopper_et_al_2001
aspenface_ptas_c,leaf_n_area,sharma_et_al_2003,sharma_p_sober_a_sober_j_podila_gk_kubiske_me_mattson_wj_isebrands_jg_karnosky_df_2003_moderation_of_[co2]-induced_gas_exchange_responses_by_elevated_tropospheric_o3_in_trembling_aspen_and_sugar_maple_ekologia_22:304ñ317,NA,@sharma_et_al_2003
bangorface_c,bgb,smith_et_al_2012,free_atmospheric_co2_enrichment_increased_above_ground_biomass_but_did_not_affect_symbiotic_n2-fixation_and_soil_carbon_dynamics_in_a_mixed_deciduous_stand_in_wales,NA,@smith_et_al_2012
bangorface_c,agb,smith_et_al_2012,free_atmospheric_co2_enrichment_increased_above_ground_biomass_but_did_not_affect_symbiotic_n2-fixation_and_soil_carbon_dynamics_in_a_mixed_deciduous_stand_in_wales,NA,@smith_et_al_2012
biforface_c,root_production,NA,NA,NA,NA
biforface_c,asat,gardner_et_al_2021,gardner_a_ellsworth_ds_crous_ky_pritchard_j_and_mackenzie_ar_2021_is_photosynthetic__enhancement_sustained_through_three_years_of_elevated_co2_exposure_in_175-year_old_quercus_robur?_tree_physiology,NA,@gardner_et_al_2021
biforface_c,root_shoot_ratio,gardner_et_al_2021,gardner_a_ellsworth_ds_crous_ky_pritchard_j_and_mackenzie_ar_2021_is_photosynthetic__enhancement_sustained_through_three_years_of_elevated_co2_exposure_in_175-year_old_quercus_robur?_tree_physiology,NA,@gardner_et_al_2021
biforface_c,vcmax,gardner_et_al_2021,gardner_a_ellsworth_ds_crous_ky_pritchard_j_and_mackenzie_ar_2021_is_photosynthetic__enhancement_sustained_through_three_years_of_elevated_co2_exposure_in_175-year_old_quercus_robur?_tree_physiology,NA,@gardner_et_al_2021
biforface_c,jmax,gardner_et_al_2021,gardner_a_ellsworth_ds_crous_ky_pritchard_j_and_mackenzie_ar_2021_is_photosynthetic__enhancement_sustained_through_three_years_of_elevated_co2_exposure_in_175-year_old_quercus_robur?_tree_physiology,NA,@gardner_et_al_2021
biforface_c,leaf_n_area,gardner_et_al_2021,gardner_a_ellsworth_ds_crous_ky_pritchard_j_and_mackenzie_ar_2021_is_photosynthetic__enhancement_sustained_through_three_years_of_elevated_co2_exposure_in_175-year_old_quercus_robur?_tree_physiology,NA,@gardner_et_al_2021
biforface_c,leaf_n_mass,gardner_et_al_2021,gardner_a_ellsworth_ds_crous_ky_pritchard_j_and_mackenzie_ar_2021_is_photosynthetic__enhancement_sustained_through_three_years_of_elevated_co2_exposure_in_175-year_old_quercus_robur?_tree_physiology,NA,@gardner_et_al_2021
biocon_c,agb,lau_et_al_2009,lau_ja_tiffin_p_2009_elevated_carbon_dioxide_concentrations_indirectly_affect_plant_fitness_by_altering_plant_tolerance_to_herbivory_oecologia_161:_401-410,NA,@lau_et_al_2009
biocon_c,n_inorg,NA,NA,NA,NA
climaite_c,n_uptake,NA,NA,NA,NA
climaite_c,bgb,arndal_et_al_2014,arndal_m_f_schmidt_i_k_kongstad_j_beier_c_and_michelsen_a_root_growth_and_n_dynamics_in_response_to_multi-year_experimental_warming_summer_drought_and_elevated_co2_in_a_mixed_heathland-grass_ecosystem_funct_plant_biol_41_1-10_2014,NA,@arndal_et_al_2014
climaite_c,asat,albert_et_al_2011a,albert_kr_ro-poulsen_h_mikkelsen_tn_et_al_2011_effects_of_elevated_co2_warming_and_drought_episodes_on_plant_carbon_uptake_in_a_temperate_heath_ecosystem_are_controlled_by_soil_water_status_plant_cell_and_environment_34:1207ñ1222_doi:_101111/j136,NA,@albert_et_al_2011a
climaite_c,n_inorg,NA,NA,NA,NA
dukeface_c,leaf_n_mass,herrick_and_thomas_1998,herrick_jd_and_thomas_rb_1998_effects_of_co2_enrichment_on_the_photosynthetic_light_response_of_sun_and_shade_leaves_of_canopy_sweetgum_liquidambar_styraciflua_in_a_forest_ecosystem_tree_phsyiologu_19:_779-786,NA,@herrick_and_thomas_1998
dukeface_c,leaf_n_mass,springer_and_thomas_2006,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@springer_and_thomas_2006
dukeface_c,leaf_n_mass,springer_et_al_2005,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@springer_et_al_2005
dukeface_c,n_uptake,NA,NA,NA,NA
dukeface_c,vcmax,springer_and_thomas_2006,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@springer_and_thomas_2006
dukeface_c,vcmax,naumburg_and_ellsworth_2000,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@naumburg_and_ellsworth_2000
dukeface_c,vcmax,ellsworth_et_al_2012,andrews_ja_schlesinger_wh_2001_soil_co2_dynamics_acidification_and_chemical_weathering_in_a_temperate_forest_with_experimental_co2_enrichment_global_biochemical_cycles_151:_149-162,NA,@ellsworth_et_al_2012
dukeface_c,vcmax,paschalis_et_al_2016,paschalis_a_katul_gg_fatichi_s_palmroth_s_way_d_2017_on_the_variability_of_the_ecosystem_response_to_elevated_atmospheric_co_2_across_spatial_and_temporal_scales_at_the_duke_forest_face_experiment_agricultural_and_forest_meteorology_232:_367-383,NA,@paschalis_et_al_2016
