exp,myvar,citation
nevada_desert_face_c,jmax,aranjuelo_et_al_2011
nevada_desert_face_c,lai,newingham_et_al_2013
new_zealand_face_c,anpp,ross_et_al_2004
new_zealand_face_c,anpp,ross_et_al_2013
new_zealand_face_c,agb,allard_et_al_2005
new_zealand_face_c,agb,deng_et_al_2016
new_zealand_face_c,agb,li_et_al_2014
new_zealand_face_c,agb,ross_et_al_2013
new_zealand_face_c,agb,allard_et_al_2003
new_zealand_face_c,agb,ross_et_al_2004
new_zealand_face_c,agb,newton_et_al_2010
new_zealand_face_c,vcmax,von_caemmerer_et_al_2001
new_zealand_face_c,vcmax,guo_et_al_2006
new_zealand_face_c,asat,guo_et_al_2006
new_zealand_face_c,asat,von_caemmerer_et_al_2001
new_zealand_face_c,leaf_n_mass,guo_et_al_2006
new_zealand_face_c,leaf_n_mass,von_caemmerer_et_al_2001
new_zealand_face_c,leaf_n_area,guo_et_al_2006
new_zealand_face_c,leaf_n_area,von_caemmerer_et_al_2001
new_zealand_face_c,n_inorg,NA
new_zealand_face_c,jmax,guo_et_al_2006
new_zealand_face_c,bgb,allard_et_al_2005
ornerp_acer_pooled_c,agb,norby_et_al_2000
ornerp_acer_pooled_c,bgb,wan_et_al_2004
ornerp_acer_pooled_c,root_production,NA
ornerp_acer_pooled_c,root_shoot_ratio,wan_et_al_2004
ornerp_grassland_c,agb,kardol_et_al_2010
ornerp_grassland_c,agb,wan_et_al_2007
ornerp_liriodendron_c,bgb,norby_et_al_1992
ornerp_liriodendron_c,agb,norby_et_al_1992
ornerp_liriodendron_c2,agb,norby_et_al_1992
ornerp_liriodendron_c2,bgb,norby_et_al_1992
ornerp_liriodendron_c2,root_shoot_ratio,norby_et_al_1992
ornerp_populus_c,bgb,zak_et_al_2000
ornerp_populus_c,leaf_n_mass,zak_et_al_2000
ornerp_populus_c,root_shoot_ratio,zak_et_al_2000
ornerp_populus_c,agb,zak_et_al_2000
ornerp_quercus_c,bgb,norby_et_al_1995
ornerp_quercus_c,root_shoot_ratio,norby_et_al_1995
ornerp_quercus_c,agb,norby_et_al_1995
ornerp_quercus_c2,agb,norby_et_al_1995
ornerp_quercus_c2,bgb,norby_et_al_1995
ornerp_quercus_c2,root_shoot_ratio,norby_et_al_1995
ornl_face_liqui_c,anpp,norby_et_al_2002
ornl_face_liqui_c,root_production,iversen_et_al_2008
ornl_face_liqui_c,root_production,norby_et_al_2002
ornl_face_liqui_c,bgb,iversen_et_al_2008
ornl_face_liqui_c,leaf_n_mass,natali_et_al_2009
ornl_face_liqui_c,n_uptake,NA
ornl_face_liqui_c,root_shoot_ratio,norby_et_al_2002
ornl_face_liqui2_c,leaf_n_mass,iversen_and_norby_2008
ornl_face_liqui2_c,leaf_n_mass,johnson_et_al_2004
ornl_face_liqui2_c,leaf_n_mass,natali_et_al_2009
ornl_face_liqui2_c,leaf_n_mass,norby_et_al_2006
ornl_face_liqui2_c,leaf_n_mass,norby_et_al_2010
ornl_face_liqui2_c,leaf_n_mass,sanders_et_al_2004
ornl_face_liqui2_c,leaf_n_mass,warren_et_al_2015
ornl_face_liqui2_c,leaf_n_mass,wicklein_et_al_2012
ornl_face_liqui2_c,agb,souza_et_al_2010
ornl_face_liqui2_c,agb,norby_et_al_2004
ornl_face_liqui2_c,asat,gunderson_et_al_2002
ornl_face_liqui2_c,asat,monson_et_al_2007
ornl_face_liqui2_c,asat,sholtis_et_al_2004
ornl_face_liqui2_c,asat,warren_et_al_2015
ornl_face_liqui2_c,bgb,norby_et_al_2004
ornl_face_liqui2_c,root_production,NA
ornl_face_liqui2_c,leaf_cn,sanders_et_al_2004
ornl_face_liqui2_c,anpp,norby_et_al_2001
ornl_face_liqui2_c,anpp,sanders_et_al_2004
ornl_face_liqui2_c,anpp,belote_et_al_2003
ornl_face_liqui2_c,leaf_n_area,warren_et_al_2015
ornl_face_liqui2_c,n_uptake,NA
ornl_face_liqui2_c,n_inorg,NA
ornl_face_liqui2_c,lai,norby_et_al_2003
ornl_face_liqui2_c,lai,norby_et_al_2001
ornl_face_liqui2_c,lai,warren_et_al_2011
ornl_face_liqui3_c,bgb,iversen_et_al_2008
phace_c,agb,blumenthal_et_al_2016
phace_c,agb,morgan_et_al_2011
phace_c,agb,mueller_et_al_2016
phace_c,root_shoot_ratio,NA
phace_c,bgb,dijkstra_et_al_2010
phace_c,bgb,morgan_et_al_2011
phace_c,bgb,mueller_et_al_2018
phace_c,bgb,carrillo_et_al_2014
phace_c,bgb,mueller_et_al_2016
phace_c,gpp,pendall_et_al_2013
phace_c,leaf_n_mass,unpublished
riceface_japan_ko_2010_3558_13960_c,lai,hayashi_et_al_2011
riceface_nianyufarm_2002_c,leaf_n_mass,yang_et_al_2006a
riceface_nianyufarm_2002_c,lai,yang_et_al_2006a
riceface_nianyufarm_2002_c,agb,xu_et_al_2004
riceface_nianyufarm_2003_c,agb,xu_et_al_2004
riceface_nianyufarm_2014_c,anpp,cai_et_al_2016
riceface_nianyufarm_triticum_2012_c,n_inorg,NA
riceface_nianyufarm_triticum_2014_c,anpp,cai_et_al_2016
riceface_shizukuishi_a_1998_c,leaf_n_area,kim_et_al_2003
riceface_shizukuishi_a_1998_c,leaf_n_area,seneweera_et_al_2002
riceface_shizukuishi_a_1998_c,leaf_n_area,fumoto_et_al_2013
riceface_shizukuishi_a_1998_c,agb,seneweera_et_al_2002
riceface_shizukuishi_a_1998_c,agb,sasaki_et_al_2007
riceface_shizukuishi_a_1998_c,agb,fumoto_et_al_2013
riceface_shizukuishi_a_1998_c,agb,bannayan_et_al_2005
riceface_shizukuishi_a_1998_c,agb,bannayan_et_al_2007
riceface_shizukuishi_a_2003_c,n_uptake,NA
riceface_shizukuishi_a_2004_c,n_uptake,NA
riceface_shizukuishi_a_2007_c,agb,tokida_et_al_2010
riceface_shizukuishi_a_2008_c,agb,tokida_et_al_2011
riceface_shizukuishi_h_2003_c,n_uptake,NA
riceface_shizukuishi_h_2004_c,n_uptake,NA
riceface_shizukuishi_ka_2003_c,n_uptake,NA
riceface_shizukuishi_ka_2004_c,n_uptake,NA
riceface_shizukuishi_ki_2003_c,n_uptake,NA
riceface_shizukuishi_ki_2004_c,n_uptake,NA
riceface_zhongcun_hybrid_2005_c,agb,yang_et_al_2009b
riceface_zhongcun_hybrid_2005_c,lai,yang_et_al_2009b
riceface_zhongcun_hybrid_2006_c,agb,yang_et_al_2009b
riceface_zhongcun_rotation_2004_c,agb,xie_et_al_2012
riceface_zhongcun_rotation_2005_c,agb,xie_et_al_2012
riceface_zhongcun_rotation_2006_c,agb,xie_et_al_2012
riceface_zhongcun_rotation_2007_c,agb,xie_et_al_2012
salmisuo_c,bgb,saarnio_et_al_2003
salmisuo_c,bgb,berendse_et_al_2001
salmisuo_c,bgb,hoosbeek_et_al_2001
salmisuo_c,agb,berendse_et_al_2001
salmisuo_c,agb,hoosbeek_et_al_2001
sca_c,agb,schaeppi_and_koerner_1996
sca_c,agb,arnone_iii_1999
sca_c,bgb,schaeppi_and_koerner_1996
sca_c,root_production,schaeppi_and_koerner_1996
scbg_c,agb,liu_et_al_2010
scbg_c,agb,deng_et_al_2010
scbg_c,agb,chen_et_al_2012
scbg_c,agb,liu_et_al_2010b
scbg_c,bgb,liu_et_al_2010
scbg_c,bgb,chen_et_al_2012
scbg_c,bgb,liu_et_al_2010b
scbg_c,root_shoot_ratio,deng_et_al_2010
scbg_c,root_shoot_ratio,liu_et_al_2010
soyfaced_maiz_c,bgb,ruiz-vera_et_al_2015
soyfacemaiz4_c,vcmax,leakey_et_al_2006
soyfacesoy1_c,agb,morgan_et_al_2005
soyfacesoy1_c,vcmax,bernacchi_et_al_2005
soyfacesoy1_c,asat,bernacchi_et_al_2005
soyfacesoy1_c,asat,dermody_et_al_2006
soyfacesoy1_c,jmax,bernacchi_et_al_2005
soyfacesoy1_c,lai,dermody_et_al_2006
soyfacesoy2_c,agb,morgan_et_al_2005
soyfacesoy2_c,vcmax,ainsworth_et_al_2004
soyfacesoy2_c,vcmax,bernacchi_et_al_2005
soyfacesoy2_c,anpp,morgan_et_al_2005
soyfacesoy2_c,asat,bernacchi_et_al_2005
soyfacesoy2_c,asat,dermody_et_al_2006
soyfacesoy2_c,leaf_cn,hamilton_et_al_2002
soyfacesoy2_c,leaf_n_mass,rogers_et_al_2006
soyfacesoy2_c,jmax,bernacchi_et_al_2005
soyfacesoy2_c,lai,dermody_et_al_2006
soyfacesoy3_c,agb,morgan_et_al_2005
soyfacesoy3_c,anpp,morgan_et_al_2005
soyfacesoy3_c,leaf_n_area,rogers_et_al_2006
soyfacetobacco9_c,vcmax,rosenthal_et_al_2011
soyfacetobacco9_c,leaf_cn,rosenthal_et_al_2011
soyfacetobacco9_c,leaf_n_mass,rosenthal_et_al_2011
soyfacetobacco9_c,jmax,rosenthal_et_al_2011
st_face_ld_c,bgb,dawes_et_al_2013
st_face_ld_c,agb,dawes_et_al_2015
st_face_ld_c,asat,handa_et_al_2005
st_face_ld_c,asat,haettenschwiler_et_al_2002
st_face_ld_c,asat,dawes_et_al_2013
st_face_ld_c,leaf_cn,asshoff_and_haettenschwiler_2006
st_face_ld_c,leaf_cn,hagedorn_and_machwitz_2006
st_face_ld_c,leaf_cn,handa_et_al_2005
st_face_ld_c,leaf_n_mass,asshoff_and_haettenschwiler_2006
st_face_ld_c,leaf_n_mass,handa_et_al_2005
st_face_ld_c,leaf_n_mass,haettenschwiler_et_al_2002
st_face_ld_c,leaf_n_mass,dawes_et_al_2013
st_face_ld_c,leaf_n_area,asshoff_and_haettenschwiler_2006
st_face_ld_c,leaf_n_area,handa_et_al_2005
st_face_ld_c,leaf_n_area,haettenschwiler_et_al_2002
st_face_ld_c,n_inorg,NA
st_face_ld_c,root_production,handa_et_al_2008
st_face_pu_c,asat,dawes_et_al_2013
st_face_pu_c,asat,handa_et_al_2005
st_face_pu_c,asat,haettenschwiler_et_al_2002
st_face_pu_c,bgb,dawes_et_al_2013
st_face_pu_c,leaf_n_mass,dawes_et_al_2013
st_face_pu_c,leaf_n_mass,handa_et_al_2005
st_face_pu_c,leaf_n_mass,haettenschwiler_et_al_2002
st_face_pu_c,agb,dawes_et_al_2015
st_face_pu_c,leaf_cn,hagedorn_and_machwitz_2006
st_face_pu_c,leaf_cn,handa_et_al_2005
st_face_pu_c,leaf_n_area,handa_et_al_2005
st_face_pu_c,leaf_n_area,haettenschwiler_et_al_2002
st_face_pu_c,n_inorg,NA
st_face_pu_c,root_production,handa_et_al_2008
suonenjoki2_bp4_c,bgb,riikonen_et_al_2004
suonenjoki2_bp4_c,agb,riikonen_et_al_2004
suonenjoki2_bp80_c,bgb,riikonen_et_al_2004
suonenjoki2_bp80_c,agb,riikonen_et_al_2004
swissface_bromuscarex_c,agb,van_kleunen_et_al_2006
swissface_forest_c,root_shoot_ratio,bucher_et_al_1998
swissface_forest_c,agb,bucher_et_al_1998
swissface_forest_c,bgb,bucher_et_al_1998
swissface_lolium2_c,agb,schneider_et_al_2004
swissface_lolium2_c,agb,bazot_et_al_2006
swissface_lolium2_c,agb,hartwig_et_al_2002
swissface_lolium2_c,agb,gloser_et_al_2000
swissface_lolium2_c,root_shoot_ratio,bazot_et_al_2006
swissface_lolium2_c,anpp,hebeisen_et_al_1997
swissface_lolium2_c,anpp,hartwig_et_al_2002
swissface_lolium2_c,n_uptake,NA
swissface_lolium2_c,n_inorg,NA
swissface_lolium2_c,bgb,bazot_et_al_2006
swissface_lolium2_c,bgb,hartwig_et_al_2002
swissface_lolium2_c,bgb,hebeisen_et_al_1997
swissface_lolium2_c,bgb,van_groenigen_et_al_2005
swissface_loliumtrifolium2_c,anpp,hebeisen_et_al_1997
swissface_loliumtrifolium2_c,agb,hebeisen_et_al_1997
swissface_medicago_c,agb,luscher_et_al_2000
swissface_trifolium2_c,agb,hartwig_et_al_2002
swissface_trifolium2_c,bgb,hartwig_et_al_2002
swissface_trifolium2_c,bgb,hebeisen_et_al_1997
swissface_trifolium2_c,vcmax,ainsworth_et_al_2003
swissface_trifolium2_c,anpp,hebeisen_et_al_1997
swissface_trifolium2_c,asat,ainsworth_et_al_2003
swissface_trifolium2_c,jmax,ainsworth_et_al_2003
tasface_c,agb,pendall_et_al_2011
tasface_c,bgb,pendall_et_al_2011
tasface_c,anpp,pendall_et_al_2011
tasface_c,n_inorg,NA
ua_otc_c,agb,jach_et_al_2000
ua_otc_c,agb,janssens_et_al_2005
ua_otc_c,bgb,jach_et_al_2000
ua_otc_c,bgb,janssens_et_al_2005
ua_otc_c,bgb,janssens_et_al_1998
ua_otc_c,root_shoot_ratio,jach_et_al_2000
ua_otc_c,root_shoot_ratio,janssens_et_al_2005
usda_central_plains_c,bgb,pendall_et_al_2004
usda_central_plains_c,agb,pendall_et_al_2004
usda_central_plains_c,agb,morgan_et_al_2004
usda_central_plains_c,agb,morgan_et_al_2001
usda_citrus_c,bgb,kimball_et_al_2007
usda_citrus_c,agb,kimball_et_al_2007
usda_citrus_c,root_shoot_ratio,kimball_et_al_2007
webface_c,bgb,hagedorn_et_al_2013
webface_c,bgb,bader_et_al_2009
