exp,myvar,citation
biocon_c,asat,tjoelker_et_al_2005
biocon_c,asat,crous_et_al_2010
biocon_c,asat,lee_et_al_2001
biocon_c,asat,lee_et_al_2011
biocon_c,asat,strengbom_and_reich_2006
biocon_c,leaf_n_mass,crous_et_al_2010
biocon_c,leaf_n_mass,tjoelker_et_al_2005
biocon_c,leaf_n_area,lee_et_al_2001
biocon_c,leaf_n_area,tjoelker_et_al_2005
biocon_c,n_inorg,NA
biocon_c,jmax,crous_et_al_2010
birmensdorf_a_c,bgb,hagedorn_et_al_2003
birmensdorf_a_c,bgb,spinnler_et_al_2002
birmensdorf_c_c,bgb,hagedorn_et_al_2003
birmensdorf_c_c,bgb,spinnler_et_al_2002
chaux-des-breuleux_c,agb,berendse_et_al_2001
chaux-des-breuleux_c,bgb,hoosbeek_et_al_2001
chaux-des-breuleux_c,bgb,berendse_et_al_2001
clermont_c,agb,bloor_et_al_2010
climaite_c,agb,andresen_et_al_2009
climaite_c,agb,andresen_et_al_2010
climaite_c,agb,kongstad_et_al_2012
climaite_c,n_uptake,NA
climaite_c,bgb,dam_and_christensen_2015
climaite_c,bgb,andresen_et_al_2009
climaite_c,bgb,andresen_et_al_2010
climaite_c,bgb,arndal_et_al_2014
climaite_c,vcmax,boesgaard_and_ro-poulsen_2013
climaite_c,asat,albert_et_al_2011a
climaite_c,asat,boesgaard_and_ro-poulsen_2013
climaite_c,root_production,arndal_et_al_2013a
climaite_c,root_production,arndal_et_al_2018
climaite_c,leaf_cn,boesgaard_and_ro-poulsen_2013
climaite_c,leaf_n_mass,andresen_et_al_2010
climaite_c,leaf_n_mass,andresen_et_al_2009
climaite_c,leaf_n_mass,boesgaard_and_ro-poulsen_2013
climaite_c,leaf_n_area,boesgaard_and_ro-poulsen_2013
climaite_c,n_inorg,NA
climaite_c,jmax,boesgaard_and_ro-poulsen_2013
climaite_c,root_shoot_ratio,andresen_et_al_2010
cper_c,agb,morgan_et_al_2004
cper_c,agb,king_et_al_2004
cper_c,bgb,king_et_al_2004
cper_c,bgb,milchunas_et_al_2005
cper_c,root_production,milchunas_et_al_2005
cper_c,gpp,bachman_et_al_2010
cper_c,anpp,milchunas_et_al_2005
cper_c,root_shoot_ratio,milchunas_et_al_2005
dri_c,bgb,johnson_et_al_1994
dri_c,bgb,phillips_et_al_2006
dri_c,bgb,walker_et_al_1997
dri_c,bgb,vose_et_al_1995
dri_c,root_production,phillips_et_al_2006
dri_c,root_shoot_ratio,walker_et_al_1997
dri_c,agb,walker_et_al_1997
dri_c2,bgb,walker_et_al_1997
dri_c2,bgb,vose_et_al_1995
dri_c2,root_production,phillips_et_al_2006
dri_c2,agb,walker_et_al_1997
dri_c2,root_shoot_ratio,walker_et_al_1997
dri_c2f,bgb,johnson_et_al_1994
dri_c2f,bgb,walker_et_al_1997
dri_c2f,bgb,vose_et_al_1995
dri_c2f,agb,walker_et_al_1997
dukeface_c,bgb,matamala_and_schlesinger_2000
dukeface_c,bgb,drake_et_al_2011
dukeface_c,bgb,hamilton_et_al_2002
dukeface_c,bgb,jackson_et_al_2009
dukeface_c,bgb,taylor_et_al_2014
dukeface_c,root_production,pritchard_et_al_2008
dukeface_c,root_production,phillips_et_al_2011
dukeface_c,leaf_n_mass,natali_et_al_2009
dukeface_c,leaf_n_mass,hamilton_et_al_2004
dukeface_c,leaf_n_mass,herrick_and_thomas_1998
dukeface_c,leaf_n_mass,herrick_and_thomas_2003
dukeface_c,leaf_n_mass,myers_et_al_1999
dukeface_c,leaf_n_mass,springer_and_thomas_2006
dukeface_c,leaf_n_mass,springer_et_al_2005
dukeface_c,n_uptake,NA
dukeface_c,vcmax,myers_et_al_1999
dukeface_c,vcmax,crous_and_ellsworth_2004
dukeface_c,vcmax,springer_and_thomas_2006
dukeface_c,vcmax,naumburg_and_ellsworth_2000
dukeface_c,vcmax,ellsworth_et_al_2012
dukeface_c,vcmax,maier_et_al_2008
dukeface_c,vcmax,paschalis_et_al_2016
dukeface_c,agb,schnitzer_et_al_2008
dukeface_c,agb,hamilton_et_al_2002
dukeface_c,agb,schlesinger_and_lichter_2001
dukeface_c,agb,kim_et_al_2016
dukeface_c,agb,mccarthy_et_al_2010
dukeface_c,agb,oishi_et_al_2014
dukeface_c,agb,finzi_et_al_2006
dukeface_c,anpp,schlesinger_et_al_2006
dukeface_c,anpp,finzi_et_al_2006
dukeface_c,asat,herrick_and_thomas_1998
dukeface_c,asat,logan_et_al_2009
dukeface_c,asat,naumburg_and_ellsworth_2000
dukeface_c,asat,springer_and_thomas_2006
dukeface_c,asat,springer_et_al_2005
dukeface_c,gpp,schaefer_et_al_2003
dukeface_c,leaf_cn,hamilton_et_al_2004
dukeface_c,leaf_cn,myers_et_al_1999
dukeface_c,leaf_n_area,ellsworth_et_al_2012
dukeface_c,leaf_n_area,finzi_et_al_2002
dukeface_c,leaf_n_area,herrick_and_thomas_1998
dukeface_c,leaf_n_area,herrick_and_thomas_2003
dukeface_c,leaf_n_area,maier_et_al_2008
dukeface_c,leaf_n_area,springer_and_thomas_2006
dukeface_c,leaf_n_area,springer_et_al_2005
dukeface_c,n_inorg,NA
dukeface_c,jmax,myers_et_al_1999
dukeface_c,jmax,crous_and_ellsworth_2004
dukeface_c,jmax,springer_and_thomas_2006
dukeface_c,jmax,ellsworth_et_al_2012
dukeface_c,jmax,maier_et_al_2008
dukeface_c,jmax,paschalis_et_al_2016
duolun7_c,gpp,an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_more_experimental_information_see_song_et_al_2019_ecology_letters_22:458-468
duolun7_c,bgb,an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_more_experimental_information_see_song_et_al_2019_ecology_letters_22:458-468
duolun7_c,agb,an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_more_experimental_information_see_song_et_al_2019_ecology_letters_22:458-468
duolun7_c,root_shoot_ratio,an_experiment_conducted_by_dr_shiqiang_wan's_lab_for_more_experimental_information_see_song_et_al_2019_ecology_letters_22:458-468
dwingeloo_c,bgb,berendse_et_al_2001
dwingeloo_c,bgb,heijmans_et_al_2001b
dwingeloo_c,bgb,hoosbeek_et_al_2001
dwingeloo_c,agb,berendse_et_al_2001
dwingeloo_c,agb,heijmans_et_al_2001b
dwingeloo_c,agb,hoosbeek_et_al_2001
dwingeloo_c,agb,heijmans_et_al_2001a
dwingeloo_c,anpp,heijmans_et_al_2001b
erdos_c,bgb,xu_et_al_2007
erdos_c,agb,xu_et_al_2007
