"exp","myvar","citation","full_reference","X","bibtexkey"
"aspenface_pt_c","lai","finzi_et_al_2007","finzi_ac_norby_rj_calfapietra_c_gallet-budynek_a_gielen_b_holmes_we_hoosbeek_mr_iverson_cm_jackson_rb_kubiske_me_ledford_hr_liberloo_m_oren_r_polle_a_pritchard_sg_zak_dr_schlesinger_wh_ceulemans_r_2007_increases_in_nitrogen_uptake_rather_than_nitrogen-use_efficiency_support_higher_rates_of_temperate_forest_productivity_under_elevated_co2_2007_pnas_10435:14014-14019_pnas_104:14014–14019",NA,"@finzi_et_al_2007"
"aspenface_pt_c","lai","uddling_et_al_2008","uddling_j_teclaw_rm_kubiske_me_pregitzer_ks_ellsworth_ds_2008_sap_flux_in_pure_aspen_and_mixed_aspen-birch_forests_exposed_to_elevated_concentrations_of_carbon_dioxide_and_ozone_tree_physiology_28:_1231-1243_28",NA,"@uddling_et_al_2008"
"aspenface_pt_c","lai","mcgrath_et_al_2010","mcgrath_jm_karnosky_df_ainsworth_ea_2010_spring_leaf_flush_in_aspen_populus_tremuloides_clones_is_altered_by_long-term_growth_at_elevated_carbon_dioxide_and_elevated_ozone_concentration_environmental_pollution_158:1023–1028",NA,"@mcgrath_et_al_2010"
"aspenface_pt_c","lai","noormets_et_al_2010","noormets_a_kull_o_sôber_a_kubiske_me_karnosky_df_2010_elevated_co2_response_of_photosynthesis_depends_on_ozone_concentration_in_aspen_environmental_pollution_158:992–999",NA,"@noormets_et_al_2010"
"aspenface_pt_c","asat","noormets_et_al_2001","noormets_a_mcdonald_ep_dickson_re_kruger_el_sôber_a_isebrands_jg_karnosky_df_2001_the_effect_of_elevated_carbon_dioxide_and_ozone_on_leaf-_and_branch-level_photosynthesis_and_potential_plant-level_carbon_gain_in_aspen_trees_15:262–270",NA,"@noormets_et_al_2001"
"aspenface_pt_c","asat","calfapietra_et_al_2007","calfapietra_c_wiberley_ae_falbel_tg_linskey_ar_mugnozza_gs_karnosky_df_loreto_f_sharkey_td_2007_isoprene_synthase_expression_and_protein_levels_are_reduced_under_elevated_o3_but_not_under_elevated_co2_face_in_field-grown_aspen_trees_plant_cell_and_environment_30:654–661",NA,"@calfapietra_et_al_2007"
"aspenface_pt_c","asat","calfapietra_et_al_2008","calfapietra_c_scarascia_mugnozza_g_karnosky_df_loreto_f_sharkey_td_2008_isoprene_emission_rates_under_elevated_co2_and_o3_in_two_field-grown_aspen_clones_differing_in_their_sensitivity_to_o3_new_phytologist_179:55–61",NA,"@calfapietra_et_al_2008"
"aspenface_pt_c","asat","cseke_et_al_2009","cseke_lj_tsai_c-j_rogers_a_nelsen_mp_white_hl_karnosky_df_podila_gk_2009_transcriptomic_comparison_in_the_leaves_of_two_aspen_genotypes_having_similar_carbon_assimilation_rates_but_different_partitioning_patterns_under_elevated_[co_2_]_new_phytologist_182:891–911",NA,"@cseke_et_al_2009"
"aspenface_pt_c","asat","darbah_et_al_2010a","darbah_jnt_kubiske_me_nelson_n_kets_k_riikonen_j_sober_a_rouse_l_karnosky_df_2010_will_photosynthetic_capacity_of_aspen_trees_acclimate_after_long-term_exposure_to_elevated_co2_and_o3?_environmental_pollution_158:983–991",NA,"@darbah_et_al_2010a"
"aspenface_pt_c","asat","kets_et_al_2010","kets_k_darbah_jnt_sober_a_riikonen_j_sober_j_karnosky_df_2010_diurnal_changes_in_photosynthetic_parameters_of_populus_tremuloides_modulated_by_elevated_concentrations_of_co2_and/or_o3_and_daily_climatic_variation_environmental_pollution_158:1000–1007",NA,"@kets_et_al_2010"
